HD;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
260 X 54,1;244;260;6,5 ;9,5 ;24;177;15,24 ;68,97 ;54,14 ; 7.981    ; 654    ; 357    ;10,8  ; 2.788    ; 214    ; 164    ;6,4  ;30,3  ; 382.576    ;152    ;6,81; 1.655    ; 211    ; 17.147    ; 685    ; 7.866    ;365    ; 8.026    ; 90.358    ;
260 X 68,2;250;260;7,5 ;12,5 ;24;177;17,81 ;86,82 ;68,15 ; 10.455    ; 836    ; 460    ;11,0  ; 3.668    ; 282    ; 215    ;6,5  ;52,4  ; 516.352    ;154    ;6,91; 2.084    ; 247    ; 22.074    ; 901    ; 10.324    ;604    ; 10.695    ; 120.413    ;
260 X 93;260;260;10,0 ;17,5 ;24;177;24,25 ;118,4  ;92,98 ; 14.919    ; 1.148    ; 641    ;11,2  ; 5.135    ; 395    ; 301    ;6,6  ; 124    ; 753.651    ;158    ;6,99; 2.843    ; 336    ; 30.790    ; 1.261    ; 14.454    ;1159    ; 15.289    ; 172.127    ;
260 X 114;268;262;12,5 ;21,5 ;24;177;30,81 ;145,7  ;114,4  ; 18.912    ; 1.411    ; 800    ;11,4  ; 6.456    ; 493    ; 376    ;6,7  ; 222    ; 978.960    ;161    ;7,08; 3.498    ; 427    ; 38.393    ; 1.561    ; 18.059    ;1758    ; 19.240    ; 218.278    ;
260 X 142;278;265;15,5 ;26,5 ;24;177;38,98 ;180,3  ;141,5  ; 24.331    ; 1.750    ; 1.008    ;11,6  ; 8.236    ; 622    ; 475    ;6,8  ; 407    ; 1.299.715    ;167    ;7,19; 4.326    ; 540    ; 48.367    ; 1.946    ; 22.811    ;2682    ; 24.473    ; 280.819    ;
260 X 172;290;268;18,0 ;32,5 ;24;177;46,35 ;219,6  ;172,4  ; 31.307    ; 2.159    ; 1.262    ;11,9  ; 10.449    ; 780    ; 596    ;6,9  ; 719    ; 1.728.347    ;173    ;7,31; 5.271    ; 642    ; 60.567    ; 2.414    ; 28.619    ;3985    ; 31.077    ; 360.646    ;
260 X 225;309;271;24,0 ;42,0 ;24;177;64,08 ;286,6  ;225,0  ; 43.752    ; 2.832    ; 1.698    ;12,4  ; 13.974    ; 1.031    ; 792    ;7,0  ; 1.545    ; 2.482.953    ;181    ;7,41; 6.878    ; 888    ; 81.497    ; 3.154    ; 37.998    ;6672    ; 42.110    ; 494.140    ;
260 X 299;335;278;31,0 ;55,0 ;24;177;86,80 ;380,5  ;298,7  ; 64.219    ; 3.834    ; 2.363    ;13,0  ; 19.773    ; 1.423    ; 1.095    ;7,2  ; 3.437    ; 3.860.130    ;195    ;7,63; 9.132    ; 1.203    ; 113.436    ; 4.237    ; 52.552    ;11447    ; 59.322    ; 714.104    ;
320 X 74,2;301;300;8,0 ;11,0 ;27;225;23,20 ;94,58 ;74,24 ; 16.447    ; 1.093    ; 598    ;13,2  ; 4.959    ; 331    ; 253    ;7,2  ;55,9  ; 1.040.738    ;218    ;7,82; 2.270    ; 321    ; 28.709    ; 915    ; 12.138    ;586    ; 13.261    ; 172.260    ;
320 X 97,6;310;300;9,0 ;15,5 ;27;225;26,51 ;124,4  ;97,63 ; 22.929    ; 1.479    ; 814    ;13,6  ; 6.985    ; 466    ; 355    ;7,5  ; 108    ; 1.512.359    ;221    ;7,99; 2.985    ; 367    ; 39.074    ; 1.289    ; 17.034    ;1066    ; 18.975    ; 246.497    ;
320 X 127;320;300;11,5 ;20,5 ;27;225;34,44 ;161,3  ;126,7  ; 30.824    ; 1.926    ; 1.075    ;13,8  ; 9.239    ; 616    ; 470    ;7,6  ; 225    ; 2.068.712    ;225    ;8,06; 3.872    ; 477    ; 51.582    ; 1.704    ; 22.538    ;1836    ; 25.522    ; 331.547    ;
320 X 158;330;303;14,5 ;25,5 ;27;225;44,15 ;201,2  ;158,0  ; 39.644    ; 2.403    ; 1.359    ;14,0  ; 11.842    ; 782    ; 597    ;7,7  ; 420    ; 2.740.510    ;231    ;8,18; 4.830    ; 612    ; 65.242    ; 2.141    ; 28.645    ;2857    ; 32.600    ; 427.724    ;
320 X 198;343;306;18,0 ;32,0 ;27;225;55,98 ;252,3  ;198,1  ; 51.896    ; 3.026    ; 1.740    ;14,3  ; 15.311    ; 1.001    ; 765    ;7,8  ; 805    ; 3.695.080    ;238    ;8,30; 6.056    ; 776    ; 83.499    ; 2.714    ; 36.724    ;4487    ; 42.197    ; 559.119    ;
320 X 245;359;309;21,0 ;40,0 ;27;225;66,99 ;312,0  ;245,0  ; 68.135    ; 3.796    ; 2.218    ;14,8  ; 19.709    ; 1.276    ; 975    ;7,9  ; 1.501    ; 5.003.865    ;246    ;8,43; 7.489    ; 928    ; 106.441    ; 3.425    ; 46.817    ;6886    ; 54.634    ; 731.003    ;
320 X 300;375;313;27,0 ;48,0 ;27;225;88,29 ;382,1  ;299,9  ; 86.905    ; 4.635    ; 2.761    ;15,1  ; 24.603    ; 1.572    ; 1.207    ;8,0  ; 2.650    ; 6.557.805    ;256    ;8,54; 9.170    ; 1.223    ; 132.523    ; 4.164    ; 57.944    ;10084    ; 68.074    ; 922.633    ;
320 X 368;395;319;33,0 ;58,0 ;27;225;111,2  ;468,4  ;367,7  ; 113.189    ; 5.731    ; 3.480    ;15,5  ; 31.497    ; 1.975    ; 1.521    ;8,2  ; 4.694    ; 8.909.403    ;269    ;8,72; 11.241    ; 1.541    ; 167.061    ; 5.127    ; 72.987    ;14833    ; 86.397    ; 1.193.412    ;
320 X 451;419;326;40,0 ;70,0 ;27;225;139,6  ;574,3  ;450,8  ; 149.194    ; 7.121    ; 4.413    ;16,1  ; 40.613    ; 2.492    ; 1.924    ;8,4  ; 8.289    ; 12.308.084    ;284    ;8,94; 13.782    ; 1.934    ; 211.827    ; 6.324    ; 92.341    ;21731    ; 110.355    ; 1.557.794    ;
360 X 134;356;369;11,2 ;18,0 ;15;290;37,86 ;170,6  ;133,9  ; 41.509    ; 2.332    ; 1.281    ;15,6  ; 15.078    ; 817    ; 619    ;9,4  ; 169    ; 4.305.006    ;312    ;10,06; 4.095    ; 525    ; 61.487    ; 1.841    ; 29.693    ; 1.795    ; 31.108    ; 497.042    ;
360 X 147;360;370;12,3 ;19,8 ;15;290;41,84 ;187,9  ;147,5  ; 46.289    ; 2.572    ; 1.419    ;15,7  ; 16.722    ; 904    ; 685    ;9,4  ; 224    ; 4.836.462    ;315    ;10,09; 4.509    ; 580    ; 68.118    ; 2.030    ; 32.862    ; 2.172    ; 34.534    ; 553.292    ;
360 X 162;364;371;13,3 ;21,8 ;15;290;45,51 ;206,3  ;161,9  ; 51.539    ; 2.832    ; 1.570    ;15,8  ; 18.562    ; 1.001    ; 758    ;9,5  ; 296    ; 5.431.590    ;317    ;10,13; 4.951    ; 631    ; 75.342    ; 2.241    ; 36.393    ; 2.620    ; 38.350    ; 616.078    ;
360 X 179;368;373;15,0 ;23,9 ;15;290;51,62 ;228,3  ;179,2  ; 57.440    ; 3.122    ; 1.741    ;15,9  ; 20.683    ; 1.109    ; 841    ;9,5  ; 394    ; 6.119.029    ;321    ;10,18; 5.478    ; 715    ; 83.575    ; 2.471    ; 40.385    ; 3.184    ; 42.505    ; 686.517    ;
360 X 196;372;374;16,4 ;26,2 ;15;290;56,71 ;250,3  ;196,5  ; 63.632    ; 3.421    ; 1.919    ;15,9  ; 22.858    ; 1.222    ; 928    ;9,6  ; 517    ; 6.828.964    ;323    ;10,22; 6.008    ; 786    ; 92.098    ; 2.716    ; 44.546    ; 3.822    ; 46.951    ; 760.363    ;
400 X 187;368;391;15,0 ;24,0 ;15;290;51,60 ;237,6  ;186,5  ; 60.183    ; 3.271    ; 1.821    ;15,9  ; 23.922    ; 1.224    ; 927    ;10,0  ; 415    ; 7.073.708    ;336    ;10,70; 5.703    ; 715    ; 87.416    ; 2.601    ; 44.512    ; 3.350    ; 44.730    ; 757.311    ;
400 X 216;375;394;17,3 ;27,7 ;15;290;60,08 ;275,5  ;216,3  ; 71.138    ; 3.794    ; 2.131    ;16,1  ; 28.254    ; 1.434    ; 1.088    ;10,1  ; 637    ; 8.514.649    ;342    ;10,80; 6.612    ; 833    ; 102.296    ; 3.025    ; 52.230    ; 4.476    ; 52.521    ; 896.042    ;
400 X 237;380;395;18,9 ;30,2 ;15;290;66,11 ;300,9  ;236,2  ; 78.777    ; 4.146    ; 2.343    ;16,2  ; 31.042    ; 1.572    ; 1.193    ;10,2  ; 825    ; 9.489.134    ;345    ;10,83; 7.222    ; 916    ; 112.455    ; 3.306    ; 57.288    ; 5.322    ; 57.820    ; 988.945    ;
400 X 262;387;398;21,1 ;33,3 ;15;290;74,63 ;334,6  ;262,7  ; 89.406    ; 4.620    ; 2.630    ;16,3  ; 35.019    ; 1.760    ; 1.338    ;10,2  ; 1.116    ; 10.943.401    ;352    ;10,91; 8.030    ; 1.034    ; 126.229    ; 3.673    ; 64.219    ; 6.522    ; 64.955    ; 1.119.429    ;
400 X 287;393;399;22,6 ;36,6 ;15;290;80,55 ;366,3  ;287,5  ; 99.706    ; 5.074    ; 2.906    ;16,5  ; 38.783    ; 1.944    ; 1.479    ;10,3  ; 1.464    ; 12.304.499    ;356    ;10,96; 8.791    ; 1.116    ; 139.505    ; 4.047    ; 70.969    ; 7.809    ; 72.118    ; 1.245.994    ;
400 X 314;399;401;24,9 ;39,6 ;15;290;89,49 ;399,2  ;313,3  ; 110.232    ; 5.525    ; 3.187    ;16,6  ; 42.604    ; 2.125    ; 1.618    ;10,3  ; 1.870    ; 13.742.736    ;360    ;11,01; 9.580    ; 1.240    ; 152.976    ; 4.401    ; 77.676    ; 9.206    ; 79.080    ; 1.373.135    ;
400 X 347;407;404;27,2 ;43,7 ;15;290;98,82 ;442,0  ;346,9  ; 124.945    ; 6.140    ; 3.569    ;16,8  ; 48.085    ; 2.380    ; 1.814    ;10,4  ; 2.510    ; 15.846.928    ;367    ;11,10; 10.607    ; 1.369    ; 171.331    ; 4.893    ; 87.088    ; 11.209    ; 88.875    ; 1.554.751    ;
400 X 382;416;406;29,8 ;48,0 ;15;290;109,7  ;487,1  ;382,3  ; 141.317    ; 6.794    ; 3.982    ;17,0  ; 53.616    ; 2.641    ; 2.015    ;10,5  ; 3.326    ; 18.126.073    ;374    ;11,16; 11.689    ; 1.520    ; 191.153    ; 5.401    ; 96.735    ; 13.518    ; 99.372    ; 1.746.998    
400 X 421;425;409;32,8 ;52,6 ;15;290;122,1  ;537,1  ;421,6  ; 159.581    ; 7.510    ; 4.440    ;17,2  ; 60.081    ; 2.938    ; 2.245    ;10,6  ; 4.398    ; 20.795.232    ;381    ;11,25; 12.890    ; 1.693    ; 213.131    ; 5.962    ; 107.744    ; 16.291    ; 111.012    ; 1.966.044    
400 X 463;435;412;35,8 ;57,4 ;15;290;135,2  ;589,5  ;462,8  ; 180.162    ; 8.283    ; 4.939    ;17,5  ; 67.035    ; 3.254    ; 2.489    ;10,7  ; 5.735    ; 23.848.237    ;389    ;11,34; 14.149    ; 1.873    ; 237.064    ; 6.554    ; 119.480    ; 19.445    ; 123.735    ; 2.207.443    
400 X 509;446;416;39,1 ;62,7 ;15;291;149,9  ;649,0  ;509,4  ; 204.528    ; 9.172    ; 5.516    ;17,8  ; 75.401    ; 3.625    ; 2.776    ;10,8  ; 7.513    ; 27.632.102    ;399    ;11,46; 15.575    ; 2.077    ; 264.785    ; 7.228    ; 133.254    ; 23.294    ; 138.532    ; 2.495.424    
400 X 551;455;418;42,0 ;67,6 ;15;290;162,7  ;701,4  ;550,6  ; 226.110    ; 9.939    ; 6.025    ;18,0  ; 82.495    ; 3.947    ; 3.026    ;10,8  ; 9.410    ; 30.873.334    ;405    ;11,52; 16.833    ; 2.255    ; 289.219    ; 7.831    ; 145.234    ; 27.031    ; 151.682    ; 2.745.428    
400 X 592;465;421;45,0 ;72,3 ;15;290;176,7  ;754,9  ;592,6  ; 250.161    ; 10.760    ; 6.569    ;18,2  ; 90.172    ; 4.284    ; 3.287    ;10,9  ; 11.564    ; 34.665.315    ;413    ;11,61; 18.117    ; 2.449    ; 315.319    ; 8.435    ; 157.787    ; 31.010    ; 165.627    ; 3.019.358    
400 X 634;474;424;47,6 ;77,1 ;15;290;188,9  ;808,0  ;634,3  ; 274.171    ; 11.568    ; 7.111    ;18,4  ; 98.251    ; 4.634    ; 3.558    ;11,0  ; 14.023    ; 38.574.731    ;421    ;11,70; 19.391    ; 2.618    ; 341.330    ; 9.059    ; 170.802    ; 35.246    ; 179.784    ; 3.300.794    
400 X 677;483;428;51,2 ;81,5 ;15;290;205,6  ;863,4  ;677,8  ; 299.470    ; 12.400    ; 7.673    ;18,6  ; 106.871    ; 4.994    ; 3.840    ;11,1  ; 16.789    ; 42.918.919    ;430    ;11,81; 20.722    ; 2.848    ; 368.306    ; 9.667    ; 184.321    ; 39.786    ; 194.061    ; 3.596.516    
400 X 744;498;432;55,6 ;88,9 ;15;290;227,5  ;948,1  ;744,2  ; 342.121    ; 13.740    ; 8.583    ;19,0  ; 119.932    ; 5.552    ; 4.274    ;11,2  ; 21.843    ; 49.980.514    ;442    ;11,93; 22.753    ; 3.152    ; 412.004    ; 10.643    ; 205.174    ; 47.357    ; 217.704    ; 4.072.396    
400 X 818;514;437;60,5 ;97,0 ;15;290;252,3  ;1043    ;819,0  ; 392.191    ; 15.260    ; 9.628    ;19,4  ; 135.529    ; 6.203    ; 4.781    ;11,4  ; 28.511    ; 58.651.202    ;456    ;12,07; 25.039    ; 3.496    ; 462.126    ; 11.747    ; 229.471    ; 56.514    ; 244.929    ; 4.634.703    
400 X 900;531;442;65,9 ;106,0 ;15;289;280,1  ;1149    ;902,1  ; 450.204    ; 16.957    ; 10.809    ;19,8  ; 153.340    ; 6.938    ; 5.354    ;11,6  ; 37.352    ; 68.887.320    ;470    ;12,22; 27.581    ; 3.881    ; 518.851    ; 12.984    ; 256.983    ; 67.560    ; 275.910    ; 5.280.689    
400 X 990;550;448;71,9 ;115,0 ;15;290;312,8  ;1262    ;991,0  ; 518.907    ; 18.869    ; 12.141    ;20,3  ; 173.359    ; 7.739    ; 5.981    ;11,7  ; 48.208    ; 81.526.567    ;487    ;12,40; 30.298    ; 4.334    ; 582.770    ; 14.278    ; 287.079    ; 80.050    ; 310.539    ; 6.024.131    
400 X 1086;569;454;78,0 ;125,0 ;15;289;346,3  ;1386    ;1088    ; 595.723    ; 20.939    ; 13.606    ;20,7  ; 196.248    ; 8.645    ; 6.688    ;11,9  ; 62.288    ; 96.079.840    ;504    ;12,57; 33.258    ; 4.799    ; 653.076    ; 15.727    ; 321.015    ; 94.833    ; 349.140    ; 6.863.663    
