IPEa;h;b;ts;tg;r;h - 2c;ASteg;A;G;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;iz,g;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;
;mm;mm;mm;mm;mm;mm;cm2;cm2;kg/m;cm4;cm3;cm3;cm;cm4;cm3;cm3;cm;cm4; cm6;cm2;cm;kN;kN;kNcm;kN;kNcm;kNcm;kNcm;kNcm2;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80    ;78,0 ;46  ;3,3;4,2 ;5  ;59,6 ;2,44 ;6,38 ;5,00 ;64,4  ;16,5  ;9,49 ;3,18 ;6,85 ;2,98 ;2,35 ;1,04 ;0,42 ;92,8  ;8,49 ;1,17 ; 153    ;33,7  ; 455    ;53,5  ; 113    ;14,9  ; 198    ; 394    ;
100    ;98,0 ;55  ;3,6;4,7 ;7  ;74,6 ;3,36 ;8,78 ;6,89 ; 141    ;28,8  ;16,5  ;4,01 ;13,1  ;4,77 ;3,77 ;1,22 ;0,77 ; 284    ;12,8  ;1,38 ; 211    ;46,5  ; 792    ;71,6  ; 181    ;22,3  ; 334    ; 796    ;
120    ;117,6 ;64  ;3,8;5,1 ;7  ;93,4 ;4,28 ;11,03 ;8,66 ; 257    ;43,8  ;24,9  ;4,83 ;22,4  ;7,00 ;5,49 ;1,42 ;1,04 ; 705    ;18,0  ;1,61 ; 265    ;59,2  ; 1.197    ;90,5  ; 263    ;30,2  ; 509    ; 1.410    ;
140    ;137,4 ;73  ;3,8;5,6 ;7  ;112,2 ;5,01 ;13,39 ;10,51 ; 435    ;63,3  ;35,8  ;5,70 ;36,4  ;9,98 ;7,76 ;1,65 ;1,36 ; 1.577    ;24,1  ;1,86 ; 321    ;69,4  ; 1.718    ; 113    ; 373    ;39,1  ; 747    ; 2.360    ;
160    ;157,0 ;82  ;4,0;5,9 ;9  ;127,2 ;6,04 ;16,18 ;12,70 ; 689    ;87,8  ;49,5  ;6,53 ;54,4  ;13,3  ;10,3  ;1,83 ;1,96 ; 3.095    ;31,0  ;2,07 ; 388    ;83,7  ; 2.378    ; 134    ; 497    ;49,1  ; 1.013    ; 3.597    ;
180    ;177,0 ;91  ;4,3;6,5 ;9  ;146,0 ;7,33 ;19,58 ;15,37 ; 1.063    ; 120    ;67,7  ;7,37 ;81,9  ;18,0  ;14,0  ;2,05 ;2,70 ; 5.933    ;38,8  ;2,31 ; 470    ; 102    ; 3.248    ; 164    ; 671    ;65,3  ; 1.397    ; 5.506    ;
200    ;197,0 ;100  ;4,5;7,0 ;12  ;159,0 ;8,55 ;23,47 ;18,42 ; 1.591    ; 162    ;90,8  ;8,23 ; 117    ;23,4  ;18,3  ;2,23 ;4,11 ; 10.529    ;47,5  ;2,51 ; 563    ; 118    ; 4.360    ; 194    ; 877    ;82,1  ; 1.843    ; 7.980    ;
220    ;217,0 ;110  ;5,0;7,7 ;12  ;177,6 ;10,47 ;28,26 ;22,18 ; 2.317    ; 214    ; 120    ;9,05 ; 171    ;31,2  ;24,2  ;2,46 ;5,69 ; 18.707    ;57,6  ;2,78 ; 678    ; 145    ; 5.765    ; 235    ; 1.164    ; 110    ; 2.456    ; 11.700    ;
240    ;237,0 ;120  ;5,2;8,3 ;15  ;190,4 ;11,89 ;33,31 ;26,15 ; 3.290    ; 278    ; 156    ;9,94 ; 240    ;40,0  ;31,2  ;2,68 ;8,35 ; 31.257    ;68,6  ;3,01 ; 799    ; 165    ; 7.478    ; 276    ; 1.498    ; 137    ; 3.156    ; 16.401    ;
270    ;267,0 ;135  ;5,5;8,7 ;15  ;219,6 ;14,21 ;39,15 ;30,73 ; 4.917    ; 368    ; 206    ;11,2  ; 358    ;53,0  ;41,2  ;3,02 ;10,3  ; 59.506    ;87,2  ;3,40 ; 940    ; 197    ; 9.900    ; 325    ; 1.976    ; 170    ; 4.204    ; 24.573    ;
300    ;297,0 ;150  ;6,1;9,2 ;15  ;248,6 ;17,56 ;46,53 ;36,52 ; 7.173    ; 483    ; 271    ;12,4  ; 519    ;69,2  ;53,7  ;3,34 ;13,4  ; 107.160    ; 108    ;3,78 ; 1.117    ; 243    ; 13.003    ; 382    ; 2.576    ; 218    ; 5.503    ; 35.745    ;
330    ;327,0 ;160  ;6,5;10,0 ;18  ;271,0 ;20,61 ;54,74 ;42,97 ; 10.231    ; 626    ; 351    ;13,7  ; 685    ;85,6  ;66,6  ;3,54 ;19,6  ; 171.501    ; 127    ;4,00 ; 1.314    ; 286    ; 16.846    ; 443    ; 3.198    ; 273    ; 7.028    ; 48.691    ;
360    ;357,6 ;170  ;6,6;11,5 ;18  ;298,6 ;22,84 ;63,96 ;50,21 ; 14.515    ; 812    ; 453    ;15,1  ; 944    ; 111    ;85,9  ;3,84 ;26,5  ; 281.992    ; 147    ;4,31 ; 1.535    ; 317    ; 21.762    ; 542    ; 4.125    ; 359    ; 9.376    ; 69.016    ;
400    ;397,0 ;180  ;7,0;12,0 ;21  ;331,0 ;26,95 ;73,10 ;57,38 ; 20.293    ; 1.022    ; 572    ;16,7  ; 1.171    ; 130    ; 101    ;4,00 ;34,8  ; 432.224    ; 173    ;4,51 ; 1.754    ; 373    ; 27.454    ; 599    ; 4.850    ; 421    ; 11.523    ; 89.813    ;
450    ;447,0 ;190  ;7,6;13,1 ;21  ;378,8 ;32,98 ;85,55 ;67,15 ; 29.759    ; 1.331    ; 747    ;18,7  ; 1.502    ; 158    ; 123    ;4,19 ;45,7  ; 704.856    ; 206    ;4,76 ; 2.053    ; 457    ; 35.863    ; 690    ; 5.898    ; 533    ; 14.965    ; 123.117    ;
500    ;497,0 ;200  ;8,4;14,5 ;21  ;426,0 ;40,53 ;101,1  ;79,36 ; 42.933    ; 1.728    ; 973    ;20,6  ; 1.939    ; 194    ; 151    ;4,38 ;62,8  ; 1.125.230    ; 241    ;5,00 ; 2.426    ; 562    ; 46.704    ; 804    ; 7.239    ; 693    ; 19.389    ; 167.910    ;
550    ;547,0 ;210  ;9,0;15,7 ;24  ;467,6 ;47,82 ;117,3  ;92,07 ; 59.979    ; 2.193    ; 1.237    ;22,6  ; 2.432    ; 232    ; 181    ;4,55 ;86,5  ; 1.710.117    ; 279    ;5,21 ; 2.815    ; 663    ; 59.392    ; 914    ; 8.676    ; 855    ; 24.272    ; 220.714    ;
600    ;597,0 ;220  ;9,8;17,5 ;24  ;514,0 ;56,79 ;137,0  ;107,6  ; 82.919    ; 2.778    ; 1.571    ;24,6  ; 3.116    ; 283    ; 221    ;4,77 ;119    ; 2.607.364    ; 319    ;5,47 ; 3.288    ; 787    ; 75.388    ; 1.067    ; 10.610    ; 1.104    ; 30.915    ; 294.502    ;
