UAP;h;b;ts;tg;r;ASteg;A;G;ey;yM;Iy;Wy;Sy;iy;Iz;Wz;Sz;iz;IT;Iw ;wmax;Npl;Vpl,z;Mpl,y;Vpl,y;Mpl,z;Mpl,xp;Mpl,xs;Mpl,w ;A1;A2;05A;b3;0,6551r;
130;130;55;6;9,5;9,5;=ZS(-3)*(ZS(-5)-ZS(-2))/100;=(ZS(-6)*ZS(-4)+(ZS(-5)-ZS(-4))*ZS(-3)*2+0,2146*ZS(-2)^2*2)/100;=ZS(-1)*0,785;=(ZS(-8)*ZS(-6)^2/2+(ZS(-7)-ZS(-6))*ZS(-5)*(ZS(-6)+(ZS(-7)-ZS(-6))/2)*2+0,2146*ZS(-4)^2*(ZS(-6)+0,2234*ZS(-4))*2)/ZS(-2)/1000;=((ZS(-8)-ZS(-7)/2)/(2+1/3*(ZS(-9)-ZS(-6))*ZS(-7)/((ZS(-8)-ZS(-7)/2)*ZS(-6)))+ZS(-1)*10-ZS(-7)/2)/10;=(ZS(-10)^3*ZS(-8)/12+2/12*(ZS(-9)-ZS(-8))*ZS(-7)^3+0,00755*2*ZS(-6)^4+2*ZS(-7)*(ZS(-9)-ZS(-8))*1/4*(ZS(-10)-ZS(-7))^2+2*0,2146*ZS(-6)^2*(ZS(-10)/2-ZS(-7)-0,2234*ZS(-6))^2)/10000;=ZS(-1)*2/(ZS(-11)/10);=(ZS(-12)^2*ZS(-10)/8+(ZS(-11)-ZS(-10))*ZS(-9)*(ZS(-12)-ZS(-9))/2+0,2146*ZS(-8)^2*(ZS(-12)/2-ZS(-9)-0,2234*ZS(-8)))/1000;=WURZEL(ZS(-3)/ZS(-7));=(ZS(-12)^3*ZS(-14)/12+(ZS(-13)-ZS(-12))^3*ZS(-11)*2/12+2*0,00755*ZS(-10)^4+ZS(-14)*ZS(-12)*(ZS(-6)*10-ZS(-12)/2)^2+(ZS(-13)-ZS(-12))*2*ZS(-11)*(ZS(-12)+(ZS(-13)-ZS(-12))/2-ZS(-6)*10)^2+2*0,2146*ZS(-10)^2*(ZS(-12)+0,2234*ZS(-10)-ZS(-6)*10)^2)/10000;=ZS(-1)/(ZS(-14)/10-ZS(-7));=ZS(-13)*(ZS(-15)-ZS(-8)*10)^2/1000;=WURZEL(ZS(-3)/ZS(-11));=(2/3*ZS(-17)*ZS(-15)^3*(1-0,315*ZS(-15)/ZS(-17))+1/3*ZS(-16)^3*(ZS(-18)-2*ZS(-15))+2*(0,07+0,075*ZS(-14)/ZS(-15))*ZS(-16)/ZS(-15)*(2*ZS(-16)+2*ZS(-15)+6*ZS(-14)-WURZEL(32*ZS(-14)^2+8*ZS(-16)*ZS(-15)+16*ZS(-16)*ZS(-14)+16*ZS(-15)*ZS(-14)))^4)/10000;=((ZS(-18)-ZS(-17)/2)*(ZS(-19)-ZS(-16)))^2*1/4*1/3*(ZS(-18)-ZS(-17)/2)*ZS(-16)*(1+2/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))/(2+1/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))*1/1000000;=(ZS(-19)-ZS(-18)/2)*(ZS(-20)-ZS(-17))/2*(1-1/(2+1/3*(ZS(-20)-ZS(-17))*ZS(-18)/((ZS(-19)-ZS(-18)/2)*ZS(-17))))*1/100;=24*ZS(-15);=24/WURZEL(3)*ZS(-17);=24*(ZS(-22)*ZS(-20)*(ZS(-23)-ZS(-20))+2/3*ZS(-21)*(ZS(-23)/2-ZS(-20))^2+2*0,2146*ZS(-19)^2*(ZS(-23)/2-ZS(-20)-0,2234*ZS(-19))^2/(ZS(-23)/2-ZS(-20)))/1000;=24/WURZEL(3)*2*ZS(-21)*(ZS(-23)-ZS(-22)/2)/100;"_=if (ZS(4)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/2/ZS(-25)/4+(ZS(4)-ZS(-19)*100/2/ZS(-25)*ZS(-25))*(ZS(-23)-ZS(-19)*100/2/ZS(-25))/2+2*(ZS(-24)-ZS(-23))*ZS(-22)*((ZS(-24)-ZS(-23))/2+ZS(-23)-ZS(-19)*100/2/ZS(-25))+2*0,2146*ZS(-21)^2*(0,2234*ZS(-21)+ZS(-23)-ZS(-19)*100/2/ZS(-25)))/1000}elsif((ZS(5)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/4/ZS(-22)/4+(2*(ZS(-24)-ZS(-23))*ZS(-22)-ZS(-19)*100/2)*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22))/2+ZS(4)*(ZS(-24)-ZS(-19)*100/4/ZS(-22)-ZS(-23)/2)+2*0,2146*ZS(-21)^2*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22)-0,2234*ZS(-21)))/1000}elsif((ZS(7)>=ZS(8)){24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+2*0,2146*ZS(-21)^2*(ZS(7)-1/3*0,6551*ZS(-21)))/1000;24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+ZS(7)*(2*0,6551*ZS(-21)-ZS(7))*(ZS(7)-ZS(7)/3*(0,6551*ZS(-21)+2*(0,6551*ZS(-21)-ZS(7)))/(2*0,6551*ZS(-21)-ZS(7)))+1/3*(0,6551*ZS(-21)-ZS(7))^3)/1000))}";=24/WURZEL(3)*(2*ZS3*ZS5^3+(ZS2-ZS5)*ZS4^3)*(1/(2*ZS5)-1/(4*ZS3))/1000;=1/2*ZS(-3)*(ZS(-27)-ZS(-24))/10;=24*1/4*(ZS(-27)-ZS(-26)/2)*ZS(-25)*(ZS(-27)-ZS(-26)/2)*(ZS(-28)-ZS(-25))*(1+1/2*(ZS(-28)-ZS(-25))*ZS(-26)/((ZS(-27)-ZS(-26)/2)*ZS(-25))-1/16*((ZS(-28)-ZS(-25))*ZS(-26))^2/((ZS(-27)-ZS(-26)/2)*ZS(-25))^2)/10000;=ZS(-29)*ZS(-27);=2*(ZS(-29)-ZS(-28)-ZS(-26))*ZS(-27);=ZS(-25)/2*100;=0,6551*ZS(-28)+ZS(-29)-WURZEL((0,6551*ZS(-28)+ZS(-29))^2-(ZS(-26)*100/2-ZS(-3)));=0,6551*ZS(-29);
150;150;65;7;10,25;10,25;=ZS(-3)*(ZS(-5)-ZS(-2))/100;=(ZS(-6)*ZS(-4)+(ZS(-5)-ZS(-4))*ZS(-3)*2+0,2146*ZS(-2)^2*2)/100;=ZS(-1)*0,785;=(ZS(-8)*ZS(-6)^2/2+(ZS(-7)-ZS(-6))*ZS(-5)*(ZS(-6)+(ZS(-7)-ZS(-6))/2)*2+0,2146*ZS(-4)^2*(ZS(-6)+0,2234*ZS(-4))*2)/ZS(-2)/1000;=((ZS(-8)-ZS(-7)/2)/(2+1/3*(ZS(-9)-ZS(-6))*ZS(-7)/((ZS(-8)-ZS(-7)/2)*ZS(-6)))+ZS(-1)*10-ZS(-7)/2)/10;=(ZS(-10)^3*ZS(-8)/12+2/12*(ZS(-9)-ZS(-8))*ZS(-7)^3+0,00755*2*ZS(-6)^4+2*ZS(-7)*(ZS(-9)-ZS(-8))*1/4*(ZS(-10)-ZS(-7))^2+2*0,2146*ZS(-6)^2*(ZS(-10)/2-ZS(-7)-0,2234*ZS(-6))^2)/10000;=ZS(-1)*2/(ZS(-11)/10);=(ZS(-12)^2*ZS(-10)/8+(ZS(-11)-ZS(-10))*ZS(-9)*(ZS(-12)-ZS(-9))/2+0,2146*ZS(-8)^2*(ZS(-12)/2-ZS(-9)-0,2234*ZS(-8)))/1000;=WURZEL(ZS(-3)/ZS(-7));=(ZS(-12)^3*ZS(-14)/12+(ZS(-13)-ZS(-12))^3*ZS(-11)*2/12+2*0,00755*ZS(-10)^4+ZS(-14)*ZS(-12)*(ZS(-6)*10-ZS(-12)/2)^2+(ZS(-13)-ZS(-12))*2*ZS(-11)*(ZS(-12)+(ZS(-13)-ZS(-12))/2-ZS(-6)*10)^2+2*0,2146*ZS(-10)^2*(ZS(-12)+0,2234*ZS(-10)-ZS(-6)*10)^2)/10000;=ZS(-1)/(ZS(-14)/10-ZS(-7));=ZS(-13)*(ZS(-15)-ZS(-8)*10)^2/1000;=WURZEL(ZS(-3)/ZS(-11));=(2/3*ZS(-17)*ZS(-15)^3*(1-0,315*ZS(-15)/ZS(-17))+1/3*ZS(-16)^3*(ZS(-18)-2*ZS(-15))+2*(0,07+0,075*ZS(-14)/ZS(-15))*ZS(-16)/ZS(-15)*(2*ZS(-16)+2*ZS(-15)+6*ZS(-14)-WURZEL(32*ZS(-14)^2+8*ZS(-16)*ZS(-15)+16*ZS(-16)*ZS(-14)+16*ZS(-15)*ZS(-14)))^4)/10000;=((ZS(-18)-ZS(-17)/2)*(ZS(-19)-ZS(-16)))^2*1/4*1/3*(ZS(-18)-ZS(-17)/2)*ZS(-16)*(1+2/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))/(2+1/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))*1/1000000;=(ZS(-19)-ZS(-18)/2)*(ZS(-20)-ZS(-17))/2*(1-1/(2+1/3*(ZS(-20)-ZS(-17))*ZS(-18)/((ZS(-19)-ZS(-18)/2)*ZS(-17))))*1/100;=24*ZS(-15);=24/WURZEL(3)*ZS(-17);=24*(ZS(-22)*ZS(-20)*(ZS(-23)-ZS(-20))+2/3*ZS(-21)*(ZS(-23)/2-ZS(-20))^2+2*0,2146*ZS(-19)^2*(ZS(-23)/2-ZS(-20)-0,2234*ZS(-19))^2/(ZS(-23)/2-ZS(-20)))/1000;=24/WURZEL(3)*2*ZS(-21)*(ZS(-23)-ZS(-22)/2)/100;"_=if (ZS(4)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/2/ZS(-25)/4+(ZS(4)-ZS(-19)*100/2/ZS(-25)*ZS(-25))*(ZS(-23)-ZS(-19)*100/2/ZS(-25))/2+2*(ZS(-24)-ZS(-23))*ZS(-22)*((ZS(-24)-ZS(-23))/2+ZS(-23)-ZS(-19)*100/2/ZS(-25))+2*0,2146*ZS(-21)^2*(0,2234*ZS(-21)+ZS(-23)-ZS(-19)*100/2/ZS(-25)))/1000}elsif((ZS(5)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/4/ZS(-22)/4+(2*(ZS(-24)-ZS(-23))*ZS(-22)-ZS(-19)*100/2)*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22))/2+ZS(4)*(ZS(-24)-ZS(-19)*100/4/ZS(-22)-ZS(-23)/2)+2*0,2146*ZS(-21)^2*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22)-0,2234*ZS(-21)))/1000}elsif((ZS(7)>=ZS(8)){24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+2*0,2146*ZS(-21)^2*(ZS(7)-1/3*0,6551*ZS(-21)))/1000;24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+ZS(7)*(2*0,6551*ZS(-21)-ZS(7))*(ZS(7)-ZS(7)/3*(0,6551*ZS(-21)+2*(0,6551*ZS(-21)-ZS(7)))/(2*0,6551*ZS(-21)-ZS(7)))+1/3*(0,6551*ZS(-21)-ZS(7))^3)/1000))}";=24/WURZEL(3)*(2*ZS3*ZS5^3+(ZS2-ZS5)*ZS4^3)*(1/(2*ZS5)-1/(4*ZS3))/1000;=1/2*ZS(-3)*(ZS(-27)-ZS(-24))/10;=24*1/4*(ZS(-27)-ZS(-26)/2)*ZS(-25)*(ZS(-27)-ZS(-26)/2)*(ZS(-28)-ZS(-25))*(1+1/2*(ZS(-28)-ZS(-25))*ZS(-26)/((ZS(-27)-ZS(-26)/2)*ZS(-25))-1/16*((ZS(-28)-ZS(-25))*ZS(-26))^2/((ZS(-27)-ZS(-26)/2)*ZS(-25))^2)/10000;=ZS(-29)*ZS(-27);=2*(ZS(-29)-ZS(-28)-ZS(-26))*ZS(-27);=ZS(-25)/2*100;=0,6551*ZS(-28)+ZS(-29)-WURZEL((0,6551*ZS(-28)+ZS(-29))^2-(ZS(-26)*100/2-ZS(-3)));=0,6551*ZS(-29);
175;175;70;7,5;10,75;10,75;=ZS(-3)*(ZS(-5)-ZS(-2))/100;=(ZS(-6)*ZS(-4)+(ZS(-5)-ZS(-4))*ZS(-3)*2+0,2146*ZS(-2)^2*2)/100;=ZS(-1)*0,785;=(ZS(-8)*ZS(-6)^2/2+(ZS(-7)-ZS(-6))*ZS(-5)*(ZS(-6)+(ZS(-7)-ZS(-6))/2)*2+0,2146*ZS(-4)^2*(ZS(-6)+0,2234*ZS(-4))*2)/ZS(-2)/1000;=((ZS(-8)-ZS(-7)/2)/(2+1/3*(ZS(-9)-ZS(-6))*ZS(-7)/((ZS(-8)-ZS(-7)/2)*ZS(-6)))+ZS(-1)*10-ZS(-7)/2)/10;=(ZS(-10)^3*ZS(-8)/12+2/12*(ZS(-9)-ZS(-8))*ZS(-7)^3+0,00755*2*ZS(-6)^4+2*ZS(-7)*(ZS(-9)-ZS(-8))*1/4*(ZS(-10)-ZS(-7))^2+2*0,2146*ZS(-6)^2*(ZS(-10)/2-ZS(-7)-0,2234*ZS(-6))^2)/10000;=ZS(-1)*2/(ZS(-11)/10);=(ZS(-12)^2*ZS(-10)/8+(ZS(-11)-ZS(-10))*ZS(-9)*(ZS(-12)-ZS(-9))/2+0,2146*ZS(-8)^2*(ZS(-12)/2-ZS(-9)-0,2234*ZS(-8)))/1000;=WURZEL(ZS(-3)/ZS(-7));=(ZS(-12)^3*ZS(-14)/12+(ZS(-13)-ZS(-12))^3*ZS(-11)*2/12+2*0,00755*ZS(-10)^4+ZS(-14)*ZS(-12)*(ZS(-6)*10-ZS(-12)/2)^2+(ZS(-13)-ZS(-12))*2*ZS(-11)*(ZS(-12)+(ZS(-13)-ZS(-12))/2-ZS(-6)*10)^2+2*0,2146*ZS(-10)^2*(ZS(-12)+0,2234*ZS(-10)-ZS(-6)*10)^2)/10000;=ZS(-1)/(ZS(-14)/10-ZS(-7));=ZS(-13)*(ZS(-15)-ZS(-8)*10)^2/1000;=WURZEL(ZS(-3)/ZS(-11));=(2/3*ZS(-17)*ZS(-15)^3*(1-0,315*ZS(-15)/ZS(-17))+1/3*ZS(-16)^3*(ZS(-18)-2*ZS(-15))+2*(0,07+0,075*ZS(-14)/ZS(-15))*ZS(-16)/ZS(-15)*(2*ZS(-16)+2*ZS(-15)+6*ZS(-14)-WURZEL(32*ZS(-14)^2+8*ZS(-16)*ZS(-15)+16*ZS(-16)*ZS(-14)+16*ZS(-15)*ZS(-14)))^4)/10000;=((ZS(-18)-ZS(-17)/2)*(ZS(-19)-ZS(-16)))^2*1/4*1/3*(ZS(-18)-ZS(-17)/2)*ZS(-16)*(1+2/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))/(2+1/3*(ZS(-19)-ZS(-16))*ZS(-17)/((ZS(-18)-ZS(-17)/2)*ZS(-16)))*1/1000000;=(ZS(-19)-ZS(-18)/2)*(ZS(-20)-ZS(-17))/2*(1-1/(2+1/3*(ZS(-20)-ZS(-17))*ZS(-18)/((ZS(-19)-ZS(-18)/2)*ZS(-17))))*1/100;=24*ZS(-15);=24/WURZEL(3)*ZS(-17);=24*(ZS(-22)*ZS(-20)*(ZS(-23)-ZS(-20))+2/3*ZS(-21)*(ZS(-23)/2-ZS(-20))^2+2*0,2146*ZS(-19)^2*(ZS(-23)/2-ZS(-20)-0,2234*ZS(-19))^2/(ZS(-23)/2-ZS(-20)))/1000;=24/WURZEL(3)*2*ZS(-21)*(ZS(-23)-ZS(-22)/2)/100;"_=if (ZS(4)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/2/ZS(-25)/4+(ZS(4)-ZS(-19)*100/2/ZS(-25)*ZS(-25))*(ZS(-23)-ZS(-19)*100/2/ZS(-25))/2+2*(ZS(-24)-ZS(-23))*ZS(-22)*((ZS(-24)-ZS(-23))/2+ZS(-23)-ZS(-19)*100/2/ZS(-25))+2*0,2146*ZS(-21)^2*(0,2234*ZS(-21)+ZS(-23)-ZS(-19)*100/2/ZS(-25)))/1000}elsif((ZS(5)>=ZS(6)){24*(ZS(-19)*100*ZS(-19)*100/4/ZS(-22)/4+(2*(ZS(-24)-ZS(-23))*ZS(-22)-ZS(-19)*100/2)*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22))/2+ZS(4)*(ZS(-24)-ZS(-19)*100/4/ZS(-22)-ZS(-23)/2)+2*0,2146*ZS(-21)^2*(ZS(-24)-ZS(-23)-ZS(-19)*100/4/ZS(-22)-0,2234*ZS(-21)))/1000}elsif((ZS(7)>=ZS(8)){24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+2*0,2146*ZS(-21)^2*(ZS(7)-1/3*0,6551*ZS(-21)))/1000;24*(ZS(4)*(ZS(-23)/2+ZS(7))+ZS(-22)*(ZS(-24)-ZS(-23)-ZS(7))^2+ZS(-22)*ZS(7)^2+ZS(7)*(2*0,6551*ZS(-21)-ZS(7))*(ZS(7)-ZS(7)/3*(0,6551*ZS(-21)+2*(0,6551*ZS(-21)-ZS(7)))/(2*0,6551*ZS(-21)-ZS(7)))+1/3*(0,6551*ZS(-21)-ZS(7))^3)/1000))}";=24/WURZEL(3)*(2*ZS3*ZS5^3+(ZS2-ZS5)*ZS4^3)*(1/(2*ZS5)-1/(4*ZS3))/1000;=1/2*ZS(-3)*(ZS(-27)-ZS(-24))/10;=24*1/4*(ZS(-27)-ZS(-26)/2)*ZS(-25)*(ZS(-27)-ZS(-26)/2)*(ZS(-28)-ZS(-25))*(1+1/2*(ZS(-28)-ZS(-25))*ZS(-26)/((ZS(-27)-ZS(-26)/2)*ZS(-25))-1/16*((ZS(-28)-ZS(-25))*ZS(-26))^2/((ZS(-27)-ZS(-26)/2)*ZS(-25))^2)/10000;=ZS(-29)*ZS(-27);=2*(ZS(-29)-ZS(-28)-ZS(-26))*ZS(-27);=ZS(-25)/2*100;=0,6551*ZS(-28)+ZS(-29)-WURZEL((0,6551*ZS(-28)+ZS(-29))^2-(ZS(-26)*100/2-ZS(-3)));=0,6551*ZS(-29);
